Creature,Size,Type,Subtypes,HD,(hp),Spd,s/f/b/c,AC,t,ff,Grpl,Attack,Full Attack,Special Attacks,SLAs,Special Qualities,F,R,W,S,D,Co,I,W,Ch,Environment,frqncy,Aln,CR,Book,,,"Entries in italics are creatures whose description includes a ""x as characters"" entry and who have a level adjustment. Player's Handbook races and their variants that do not include level adjustments will be omitted from this database.",,,,,,,,,,,,,
Battlebriar,Huge,Plant,,25,312,30,,30,6,30,37,Slam +28 (2d6+11/19-20),4 slams,"Impale, improved grab, thorn volley, trample 2d6+16",,"DV60, LLV, resistance to electricity 20 and fire 20, thorn field",22,6,10,32,6,27,5,10,7,Temperate forests,usually,NN,15,MM3,,,,,,,,,,,,,,,,
"Battlebriar, Lesser (Warbound Impaler)",Large,Plant,,12,126,30,,19,7,19,19,Slam +14 (1d8+6/19-20),2 slams,"Impale, improved grab, thorn volley, trample 1d8+9",,"DV60, LLV, resistance to electricity 10 and fire 10, thorn field",14,2,4,23,6,22,5,10,7,Temperate forests,usually,NN,7    ,MM3,,,,,,,,,,,,,,,,
Beacon Moth,Huge,Magical Beast,,8,60,30,"c20, f90 (avg)",17,12,13,19,Bite +9 (1d6+4),Same as Attack,Dazzling wings,,"Blindsense 60ft, DV120, daylight aura, LLV, resistance to cold 10",8,10,3,17,19,14,2,12,16,Underground,always,NN,5    ,322,,,,,,,,,,,,,,,,
Jackal,Small,Animal,,1,6,40,,15,14,12,-3,Bite +2 (1d4+1),Same as Attack,-,,"LLV, scent",4,5,1,13,17,15,2,12,6,Warm deserts,always,NN,1/3,Sand,,,,,,,,,,,,,,,,
"Lizard, Horned",Tiny,Animal,,1,5,15,b5,16,13,15,-10,Bite +0 (1d3-2),Same as Attack,Blood squirt,,"LLV, spines",3,3,2,7,12,13,1,14,6,Warm deserts,always,NN,1/4,Sand,,,,,,,,,,,,,,,,
Lynx,Small,Animal,,1,5,40,,14,14,11,-6,Bite +4 (1d4-2),Bite and 2 claws -1 (1d3-2),Pounce,,Scent,2,5,1,7,17,12,2,12,7,Any land,always,NN,1/2,RoF,,,,,,,,,,,,,,,,
Monkey,Tiny,Animal,,1,4,30,c30,14,14,12,-12,Bite +4 (1d3-4),Same as Attack,-,,LLV,2,4,1,3,15,10,2,12,5,Warm forests,always,NN,1/6,MM1,,,,,,,,,,,,,,,,
Owl,Tiny,Animal,,1,4,10,f40 (avg),17,15,14,-11,talons +5 (1d4-3),Same as Attack,-,,LLV,2,5,2,4,17,10,2,14,4,Temperate forests,always,NN,1/4,MM1,,,,,,,,,,,,,,,,
Phynxkin,Medium,Animal,Dragonblood,1,6,40,c20,13,11,12,2,Bite +2 (1d6+2),Bite and 2 claws -3 (1d4+1),Pounce,,"LLV, +2 on saves vs. spells",14,3,0,14,13,14,2,8,8,Any forest,always,NN,1    ,DrM,,,,,,,,,,,,,,,,
Bearhound,Large,Magical Beast,,10,105,40,,22,11,20,22,Bite +18 (1d8+9),Bite and 2 claws +13 (1d6+5),"Enhanced natural weapons, improved grab, trip",,"DV60, LLV, resistance to cold 10, scent, trackless step, wild empathy",12,9,5,27,15,21,16,14,12,Temperate forests,usually,NG,7    ,MM3,,,,,,,,,,,,,,,,
Beast of Malar (bat form),Medium,Magical Beast,Shapechanger,9,94,10,f30 (clu),17,12,15,12,Bite +13 (1d6+4/19-20),Same as Attack,-,,"DR 10/magic and silver, DV60, immunity to fear, LLV, regeneration 6, shapeshifting",11,8,5,17,15,20,10,15,17,Any land,always,CE,11,MoF,,,,,,,,,,,,,,,,
Beast of Malar (claw slayer form),Medium,Magical Beast,Shapechanger,9,94,20,c20,23,12,21,19,Bite +19 (2d6+10),Bite and 4 claws +17 (1d6+5/19-20),Improved grab,,"DR 10/magic and silver, DV60, immunity to fear, LLV, regeneration 6, shapeshifting",11,8,5,30,14,20,10,15,17,Any land,always,CE,11,MoF,,,,,,,,,,,,,,,,
Beast of Malar (hunting panther form),Medium,Magical Beast,Shapechanger,9,94,60,,21,16,15,11,Claw +15 (1d4+2),2 claws and bite +13 (1d6+1),"Pounce, improved grab, rake 1d4+1",,"DR 10/magic and silver, DV60, immunity to fear, LLV, regeneration 6, scent, shapeshifting",11,12,5,15,22,20,10,15,17,Any land,always,CE,11,MoF,,,,,,,,,,,,,,,,
Beastwraith,Small,Undead,Incorporeal,5,35,,f40 (prf),14,14,12,-,Incorporeal touch +4 (1d8 cold plus 1 Str),Same as Attack,"Create spawn, savage nature, SLAs, terrifying howl","CL5, at will - death knell",DV60,1,3,6,-,14,-,6,15,13,Any,always,NE,3    ,357,,,,,,,,,,,,,,,,
Beguiler,Small,Magical Beast,,1,5,30,c10,14,14,11,-5,Claw +5 (1d3-2),2 claws and bite +3 (1d4-2) and short sword +3 (1d4-2),Rake 1d3-2,,"DV60, LLV, true sight",2,5,0,6,17,11,12,10,11,Warm plains,always,NN,1    ,ShSo,,,,,,,,,,,,,,,,
"Behemoth, Eagle",Coloss.,Outsider,Extraplanar,21,220,20,f160 (pr),24,14,12,44,Claw +25 (5d10+7),2 claws and bite +15 (4d12+3),-,,"Evasion, SR 30",18,24,16,25,34,23,17,19,16,Any land,always,NN,18,ELH,,,,,,,,,,,,,,,,
"Behemoth, Gorilla",Huge,Outsider,Extraplanar,21,366,60,c30,38,14,30,39,Claw +29 (4d8+10),2 claws and bite +24 (3d10+5),Rend 8d8+20,,"Scent, SR 30",24,20,16,31,26,35,6,15,12,Warm forests,always,NN,19,ELH,,,,,,,,,,,,,,,,
Behir,Huge,Magical Beast,,9,94,40,c15,20,9,19,25,Bite +15 (2d4+12),Same as Attack,"Breath weapon 7d6 electricity, constrict 2d8+8, improved grab, rake 1d4+4, swallow whole",,"Can't be tripped, DV60, immunity to electricity, LLV, scent",11,7,5,26,13,21,7,14,12,Warm hills,often,NN,8    ,MM1,,,,,,,,,,,,,,,,
Beholder,Large,Aberration,,11,93,5,f20 (gd),26,11,24,12,Bite +7 (2d4),Same as Attack,Eye rays,,"All-around vision, antimagic cone, DV60, flight",9,5,11,10,14,18,17,15,15,Cold hills,usually,LE,13,MM1,,,,,,,,,,,,,,,,
"Beholder, Bleeder",Large,Aberration,,10,85,20,f30 (gd),21,11,19,13,Tentacle +9 (1d6+2 plus blood drain),10 tentacles,"Blood drain, tentacle grapple, trample 1d6+3",,"All-around vision, blood feeding, flight",7,5,9,14,14,18,14,14,12,Cold hills,usually,LE,8    ,DrC,,,,,,,,,,,,,,,,
"Beholder, Death Tyrant",Large,Undead,,11,71,,f15 (avg),20,9,20,9,Bite +4 (2d4),Same as Attack,Eye rays,,"All-around vision, antimagic cone, flight, partial actions only, +2 turn resistance",3,3,9,10,10,-,-,15,17,Any land and underground,always,NE,13,FRCS,,,,,,,,,,,,,,,,
"Beholder, Gauth",Medium,Aberration,,6,45,5,f20 (gd),19,12,17,3,Bite +3 (1d6-1),Same as Attack,"Eye rays, stunning gaze",,"All-around vision, DV60, flight",5,4,9,8,14,16,15,15,13,Cold hills,usually,LE,6    ,MM1,,,,,,,,,,,,,,,,
"Beholder, Occultipus",Large,Aberration,,9,58,5,f20 (gd),18,9,18,11,Tentacle +6 (1d2+1),4 tentacles +6 (1d2+1) and bite +4 (2d4),"Confusing gaze, eye rays, improved grab",,"All-around vision, DV60, flight, regeneration 1",5,5,8,12,10,14,13,15,15,Any land and underground,usually,LE,12,DDen,,,,,,,,,,,,,,,,
"Beholderkin, Death Kiss",Large,Aberration,,12,90,5,f30 (gd),16,11,14,16,Tentacle +11 (1d4+3),10 tentacles,"Blood drain, improved grab",,"DV60, death shiver, electric aura, flight",9,6,11,16,14,16,10,12,14,Any land,usually,NE,11,MoF,,,,,,,,,,,,,,,,
"Beholderkin, Director",Large,Aberration,,8,60,5,f20 (gd),24,14,23,11,Tentacle +6 (1d6),3 tentacles and bite +4 (1d8),Eye rays,,"All-around vision, DV60, deflection, flight, SR 16, verminbond",5,7,7,12,12,16,15,12,19,Cold hills,usually,LE,8    ,LoM,,,,,,,,,,,,,,,,
"Beholderkin, Eye of the Deep",Large,Aberration,Aquatic,12,102,5,"f20 (gd), s30",18,9,18,18,Claw +14 (1d8+5),2 claws and bite +11 (1d8+2),"Baleful flash, constrict 2d6+5, eye rays, improved grab, persistent image",,"All-around vision, DV60",10,4,10,20,10,18,12,14,15,Cold aquatic,usually,LE,8    ,LoM,,,,,,,,,,,,,,,,
"Beholderkin, Eyeball",Dimin.,Aberration,,1,3,5,f40 (gd),18,17,15,-14,Bite -3 (1d3-2),Same as Attack,Eye rays,,"All-around vision, DV60, flight, immunity to charm and command effects",-1,3,2,6,16,9,2,10,10,Underground,usually,NE,1/2,MoF,,,,,,,,,,,,,,,,
"Beholderkin, Eyeball, Swarm",Dimin.,Aberration,Swarm,6,21,5,f40 (gd),18,17,15,-,Swarm (2d6),Same as Attack,"Distraction, myriad eyes",,"All-around vision, DV60, flight, hive mind",1,5,7,6,16,9,2,10,10,Underground,always,NE,4    ,ExUn,,,,,,,,,,,,,,,,
"Beholderkin, Gouger",Large,Aberration,,14,105,10,f40 (gd),24,11,22,19,Bite +14 (2d6+7) or tongue +14 (1d8+7/19-20/x3),Same as Attack,"Antimagic eye, eye gouge, tongue strike",,"All-around vision, DV60, flight",9,6,8,20,14,16,9,9,12,Underground,usually,NE,11,MoF,,,,,,,,,,,,,,,,
"Beholderkin, Hive Mother",Huge,Aberration,,20,210,5,f20 (gd),35,10,33,30,Bite +20 (2d6+10),Same as Attack,"Command beholder, eye rays, improved grab, swallow whole",,"All-around vision, antimagic cone, DV60, flight",14,8,17,24,14,22,21,17,25,Cold hills,usually,LE,16,LoM,,,,,,,,,,,,,,,,
"Beholderkin, Overseer",Large,Aberration,,14,147,5,,30,10,29,20,Tentacle +15 (1d6+6),8 tentacles and 3 bites +10 (1d8+3),"Command beholder, constrict 1d6+6, eye rays, improved grab",,"All-around vision, DV60, fungus, SR 23",12,5,13,22,13,22,20,18,22,Cold hills,always,LE,15,LoM,,,,,,,,,,,,,,,,
"Beholderkin, Spectator",Medium,Aberration,Extraplanar,4,26,5,f20 (gd),16,11,15,3,Bite +3 (1d6),Same as Attack,"Eye rays, SLAs","CL6, 3/day - create food and water; 1/day - plane shift","All-around vision, DV60, flight, planar fast healing, SR 12, spell turning",3,2,5,10,12,14,14,12,15,Mechanus,usually,LN,4    ,LoM,,,,,,,,,,,,,,,,
Bel (Lord of the First),Large,Outsider,"Baatezu, Evil, Extraplanar, Lawful",26,403,40,f60 (avg),42,22,39,45,Huge +3 flaming greatsword +44 (2d8+25/19-20 plus 1d6 fire plus 1 vile),Huge +3 flaming greatsword +44/+39/+34/+29 (2d8+25/19-20 plus 1d6 fire plus 1 vile) and 2 wings +35 (1d4+7) and bite +35 (2d6+7 plus disease plus poison) and tail slap +35 (2d4+7),"Constrict 2d4+22, disease, fear aura, improved grab, poison, SLAs, summon baatezu","CL19, at will - animate dead, blasphemy, charm person, create undead, desecrate, detect good, detect magic, dispel magic, fireball, hellfire, hold person, greater invisibility, magic circle against good, major image, produce flame, polymorph, suggestion, greater teleport, unholy aura, unhallow, wall of fire; 1/day - meteor swarm, symbol (any), wish","DR 10/good and silver, DV60, immunity to fire and poison, regeneration 7, resistance to acid 10 and cold 10, see in darkness, SR 30, telepathy 100ft",26,18,23,40,16,32,27,27,25,Baator (Avernus),always,LE,20,BoVD,,,,,,,,,,,,,,,,
Belial (Lord of the Fourth),Medium,Outsider,"Baatezu, Evil, Extraplanar, Lawful",36,450,30,f60 (prf),40,23,33,45,+4 ranseur +50 (2d4+13 plus 1 vile/x3),+4 ranseur +50/+45/+40/+35 (2d4+13 plus 1 vile/x3),"Fear aura, SLAs, summon baatezu","CL20, at will - blasphemy, charm monster, deeper darkness, desecrate, detect good, detect magic, geas/quest, greater dispel magic, greater restoration, hellfire storm, locate creature, locate object, magic circle against good, major image, produce flame, raise dead, see invisibility, suggestion, greater teleport, unholy aura, unhallow, wall of fire; 1/day - dominate monster, symbol of pain, wish","DR 15/good and silver, DV60,  immunity to fire and poison, resist acid 10 and cold 10, regeneration 7, see in darkness, SR 36, telepathy 100ft",28,29,29,29,25,27,28,28,39,Baator (Phlegethos),always,LE,24,BoVD,,,,,,,,,,,,,,,,
Belker,Large,Elemental,"Air, Extraplanar",7,38,30,f50 (prf),22,14,17,11,Wing +9 (1d6+2),2 wings and bite +4 (1d4+1) and 2 claws +4 (1d3+1),Smoke claws,,"DV60, smoke form",3,10,2,14,21,13,6,11,11,Elemental Plane of Air,usually,NE,6    ,MM1,,,,,,,,,,,,,,,,
"Ben-hadar (Prince of Good Water Creatures, Squallbringer, The Valorous Tempest)",Huge,Elemental,"Extraplanar, Good, Water",42,567,40,s120,40,25,31,53,Claw +44 (4d6+14/19-20),2 claws,"Drench, elemental command, SLAs, summon aquatic creatures, vortex, wall of water, water mastery","CL20, at will - bless water, control water, create water, detect evil, detect good, dispel magic, obscuring mist, see invisibility, suggestion, telekinesis, greater teleport, water breathing (any duration from 1 round to permanent); 3/day - quickened control water, fog cloud, solid fog; 1/day - horrid wilting","Change shape, DR 15/-, DV60, FH5, SR 32, tongues",32,27,26,39,29,29,22,26,23,Elemental Plane of Water,always,NG,22,353,,,,,,,,,,,,,,,,
Bharrai (The Great Bear),Huge,Outsider,"Extraplanar, Good, Guardinal",31,418,40,,50,35,42,50,Claw +40 (3d6+11),2 claws and bite +35 (3d6+5),"Improved grab, spells (wiz18), SLAs","CL20, at will - aid, daylight, deep  slumber, detect evil, detect magic, detect thoughts, dimension door, dispel magic, hold monster, magic circle against evil (self only), magic missile, polymorph, see invisibility, solid fog; 3/day - heal, neutralize poison, remove disease; 1/day - holy word","DR 20/evil and silver, DV60, immunity to electricity and petrification, lay on hands,  LLV, nature-friendly spells, resistance to cold 10 and sonic 10, speak with animals, SR 37, tongues, true seeing, uncanny dodge, +4 on saves vs. poison",26,25,26,33,27,29,30,29,30,Elysium,always,NG,28,BoED,,,,,,,,,,,,,,,,
Bhuka,Medium,Humanoid,Goblinoid,1,5,30,,13,11,12,1,Club +1 (1d6) or shortbow +2 (1d6/x3),Same as Attack,-,,Bhuka traits,3,1,-1,11,13,12,10,9,8,Warm deserts,usually,LG,1/2,Sand,,,,,,,,,,,,,,,,
Bhut,Medium,Undead,Incorporeal,8,52,,f50 (prf),19,19,15,-,Incorporeal bite +8 (1d12/19-20/x3 plus poison),Same as Attack,"Augmented critical, dreadful appearance, poison",,"Corpsetheft, DV60, earth vulnerability",2,6,5,-,19,-,14,9,20,Any land,always,NE,9    ,FF,,,,,,,,,,,,,,,,
Bile Wrapped in Beauty (Acid Spitter),Medium,Fey,,8,28,30,,18,14,14,6,Slam +8 (1d4+3 plus 2d6 acid),Same as Attack,"Acid flesh, acid spray, improved grab",,"DR 5/cold iron, immunity to acid, LLV, mending, reflective disguise, vulnerability to fire",2,10,6,14,18,10,10,10,16,Temperate marshes,always,NE,5    ,Web,,,,,,,,,,,,,,,,
"Rat, Dire",Small,Animal,,1,5,40,c20,15,14,12,-4,Bite +4 (1d4 plus disease),Same as Attack,Disease,,"LLV, scent",3,5,3,10,17,12,1,12,4,Any,always,NN,1/3,MM1,,,,,,,,,,,,,,,,
Bisan,Medium,Fey,Spirit,10,35,60,,20,12,18,5,Touch +7 (1d10),Same as Attack,SLAs,"CL10, at will - animate wood, bane, bless, calm emotions, castigate, elemental ward, ethereal jaunt (self +50lbs only), hold monster, invisibility, ironwood, plant growth, wood shape)","Alternate form, DR 5/cold iron, LLV, symbiosis, SR 21",3,9,9,11,14,10,13,15,16,Temperate forests,always,NN,5    ,OA,,,,,,,,,,,,,,,,
Red Halberd,Small,Animal,,1,5,20,f40 (avg),14,12,13,-3,Claw +2 (1d3+1),2 claws,-,,"LLV, marsh move",3,3,0,13,13,13,3,10,8,Warm marshes,always,NN,1/2,SotAC,,,,,,,,,,,,,,,,
"Sea Snake, Small",Small,Animal,,1,4,10,s30,17,14,14,-6,Bite +4 (1d2-2 plus poison),Same as Attack,Poison,,"Hold breath, scent",2,5,1,6,17,11,1,12,2,Warm aquatic,always,NN,1/2,Storm,,,,,,,,,,,,,,,,
Black Beast of Bedlam,Large,Outsider,"Chaotic, Evil, Extraplanar",15,142,60,c60,26,12,23,25,Claw +20 (2d6+6 plus corporeal instability),2 claws and bite +18 (2d8+3 plus corporeal instability),"Breath weapon (20ft radius cloudkill), corporeal instability, damning darkness, screeching skull, SLAs","CL15, at will - disguise self (as humanoid only); 3/day - confusion, deeper darkness, desecrate, detect good, detect law, major image, shatter, tongues, unhallow; 1/day - bestow curse, enervation, insanity, greater invisibility, nightmare, phantasmal killer, project image, shout","DR 15/cold iron and good or cold iron and lawful, DV120, FH5, freedom of movement, immunity to electricity, light effects, and sonic, LLV, malleability, mockery, resistance to acid 10, cold 10, and fire 10, scent, SR 27, tremorsense 120ft",14,12,14,23,17,21,16,16,16,Pandemonium,always,CE,14,355,,,,,,,,,,,,,,,,
Black Cyst,Large,Outsider,"Chaos, Evil, Extraplanar",33,346,50,f100 (prf),35,17,32,45,Tentacle +40 (1d6+8/19-20),8 tentacles,"Aligned strike, entropic touch, magic strike, spawn elemental, SLAs, warping aura","CL16, at will - confusion, ethereal jaunt; 3/day - quickened confusion; 1/day - insanity, power word stun, waves of exhaustion","Blessing of Tharizdun, blindsight 120ft, DR 15/lawful and silver, DV60, immunity to critical hits, massive damage, mind-affecting, paralysis, and petrification, regeneration 10, resistance to acid 10, cold 10, electricity 10, and fire 10, SR 26, vulnerability to sonic",29,26,26,26,16,22,3,17,21,Demiplane Prison of Tharizdun,always,CE,18,362,,,,,,,,,,,,,,,,
Black Jelly Oyster,Tiny,Plant,,1,5,0,,14,12,14,-13,Touch +2 (1d6+1 acid),Same as Attack,Lichen acid,,Camouflage,2,-,-2,-,-,13,-,6,4,Temperate forests,always,NN,1    ,GotP,,,,,,,,,,,,,,,,
Black Loper,Medium,Outsider,Extraplanar,4,25,,f40 (prf),19,14,15,6,Bite +10 (2d6),Bite and tentacle +7 (1d8 plus 1d4 acid),-,,"DR 5/magic, cannot be flanked, scent, SR 10, transfer",5,4,4,15,18,12,5,17,10,Any,always,NE,2    ,Web,,,,,,,,,,,,,,,,
Black Trumpet,Small,Plant,,1,4,0,,11,11,11,-9,-,-,Odor,,-,2,-,-5,-,-,10,-,1,1,Temperate forests,always,NN,1/10,GotP,,,,,,,,,,,,,,,,
Black Willow,Huge,Plant,,16,184,10,,28,8,28,26,Tendril +14 (1d6+9) (adj for Pwr Atk),12 tendrils,"Constrict 1d8+9, improved grab, paralysis, sleep aura, swallow whole",,"DR 15/slashing, immunity to electricity and fire, LLV",17,5,5,23,10,24,10,11,17,Warm forests,always,CE,13,BoK,,,,,,,,,,,,,,,,
Blackroot Marauder,Medium,Construct,,8,64,30,,19,11,18,10,Claw +10 (1d4+4 plus poison) or thorns +7 (1d6 plus poison),2 claws or thorns,"Poison, thorns",,"DR 5/-, detect good, immunity to electricity, natural camouflage, restful state, tremorsense 60ft",2,3,4,18,12,-,10,14,10,Any forest,usually,NE,5    ,DrC,,,,,,,,,,,,,,,,
Blackskate,Large,Undead,Aquatic,4,26,,s40,18,12,15,11,Stinger +6 (1d6+2 plus poison),Stinger and bite +1 (1d8+5),"Blood rage, poison",,"Blood tracker, DR 5/slashing, DV60, scent",1,4,5,20,17,-,12,12,16,Any aquatic,always,NE,4    ,Storm,,,,,,,,,,,,,,,,
Blackstone Gigant,Garg.,Construct,,32,236,40,"c20, f40 (prf)",31,4,31,53,Slam +38 (4d8+17 plus petrification),4 slams,"Petrification, trample 8d8+25",,"Animate statue, DR 15/adamantine, DV60, resistance to acid 20, cold 20, electricity 20, and fire 20, SR 32",10,10,12,45,7,-,6,10,10,Any,always,Any,18,FF,,,,,,,,,,,,,,,,
Blackwing,Large,Undead,,12,78,30,f80 (avg),20,12,17,18,Claw +13 (1d6+8),2 claws and bite +8 (1d8+4),"Frightful dive, wail of despair",,"DR 5/bludgeoning, DV60, evasion, immunity to cold",4,9,10,26,17,-,10,14,14,Any mountain,always,NE,8    ,MM5,,,,,,,,,,,,,,,,
Blade Spirit,Medium,Undead,Incorporeal,9,58,40,f80 (gd),16,16,12,-,Incorporeal touch +8 (1d4),Same as Attack,"Animate weapons, weapon domination",,"DV60, weapon immunity, +2 turn resistance",3,7,8,-,18,-,14,14,15,Any land and underground,always,LE,9    ,RTEE,,,,,,,,,,,,,,,,
Bladeling,Medium,Outsider,"Extraplanar, Lawful",1,4,30,,15,11,14,1,Claw +1 (1d6) or longsword +1 (1d8/19-20),Same as Attack,Razor storm,,"DR 5/magic and bludgeoning, immunity to acid and rust attacks, resistance to cold 5 and fire 5 ",2,3,2,11,13,11,10,10,10,Acheron,always,LX,1    ,MM2,,,,,,,,,,,,,,,,
Blaspheme,Medium,Undead,,18,147,40,,20,11,19,18,Bite +18 (1d8+13 plus blasphemous contact),Same as Attack,"Blasphemous contact, erratic charge",,"DR 5/slashing, DV60, immunity to cold, inescapable craving",6,7,13,28,12,-,5,15,10,Cold plains,always,NE,9    ,LM,,,,,,,,,,,,,,,,
Blazewyrm,Large,Elemental,"Extraplanar, Fire",9,67,40,f60 (prf),17,12,14,16,Bite +10 (1d8+7 plus 1d6 fire),Same as Attack,"Fiery body, tumbling flame",,"DR 5/magic, DV60, evasion, immunity to fire, vulnerability to cold",6,11,3,20,17,16,4,11,10,Elemental Plane of Fire,always,CE,5    ,DrM,,,,,,,,,,,,,,,,
Bleakborn,Medium,Undead,,8,52,30,,27,13,24,10,Slam +10 (1d6+9 plus 2d6 cold),Same as Attack,"Cold to the touch, create spawn, heat-draining aura",,"Contingent healing 10, DV60, diet dependent, fire lover, +2 turn resistance",2,7,8,22,16,-,14,14,15,Any,always,NE,7    ,LM,,,,,,,,,,,,,,,,
Serval (Savannah Wildcat),Small,Animal,,1,5,40,,15,14,12,-3,Claw +4 (1d3+1),2 claws and bite -1 (1d4),"Improved grab, pounce, rake 1d3",,"LLV, scent",3,5,1,12,17,13,2,12,7,Warm plains,always,NN,1    ,Sand,,,,,,,,,,,,,,,,
Blindheim,Small,Monstrous Humanoid,Aquatic,4,22,40,"c20, s30",17,13,15,-2,Bite +3 (1d8-2),Same as Attack,"Gaze, improved grab, swallow whole",,"Amphibious, blindsense 40ft, poison resistance",2,6,4,6,15,12,3,10,6,Any marsh,usually,CE,3    ,339,,,,,,,,,,,,,,,,
Blink Dog,Medium,Magical Beast,,4,22,40,,16,13,13,4,Bite +4 (1d6),Same as Attack,-,,"Blink, DV60, dimension door, LLV, scent",4,7,4,10,17,10,10,13,11,Temperate plains,usually,LG,2    ,MM1,,,,,,,,,,,,,,,,
Blood Amniote,Huge,Undead,,10,65,30,c20,26,13,21,19,Slam +9 (2d6+6 plus blood call),Same as Attack,Blood call,,"Blindsight 60ft, DR 10/-, DV60, FH5, inescapable craving, ooze traits, self spawn",3,8,-2,19,20,-,-,1,1,Underground,always,NN,9    ,LM,,,,,,,,,,,,,,,,
Blood Ape,Large,Magical Beast,,4,30,30,c30,14,11,12,15,Claw +8 (1d6+5),2 claws and bite +3 (1d8+2),"Growth, improved grab, rend 2d4+7",,"DV60, LLV, scent",6,6,2,21,15,14,2,12,7,Warm forests,usually,NN,6    ,MM2,,,,,,,,,,,,,,,,
Blood Elemental,Medium,Outsider,Extraplanar,5,37,20,s90,20,11,19,8,Slam +8 (1d8+4),Same as Attack,"Bloodbath, cause insanity",,"DR 5/magic, DV60, incomprehensible, immunity to critical hits, mind-affecting, and stunning",7,5,4,17,12,17,10,11,19,Any,always,NE,6    ,Web,,,,,,,,,,,,,,,,
"Blood Elemental, Blood Mother (mortal form)",Medium,Outsider,Extraplanar,24,180,30,s90,29,20,19,33,Slam +28 (2d6+7),Same as Attack,"Spells (clr13), summon blood elemental",,"Assume mortal form, DR 10/magic, DV60, incomprehensible, immunity to critical hits, mind-affecting, and stunning, SR 20",17,24,17,21,31,16,20,17,16,Any,always,CE,18,Web,,,,,,,,,,,,,,,,
"Blood Elemental, Blood Mother (normal form)",Large,Outsider,Extraplanar,24,180,20,s90,28,19,18,33,Slam +27 (2d6+7),Same as Attack,"Bloodbath, cause insanity, frightful presence, spells (clr13), summon blood elemental",,"Assume mortal form, DR 10/magic, DV60, incomprehensible, immunity to critical hits, mind-affecting, and stunning, SR 20",17,24,17,21,31,16,20,17,16,Any,always,CE,18,Web,,,,,,,,,,,,,,,,
